generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
64,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.18506511175898932,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
65,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.16330417881438292,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
66,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.16330417881438292,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
67,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.16330417881438292,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
68,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.14045481049562683,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
69,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.14045481049562683,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
70,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.14045481049562683,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
71,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.1165170068027211,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
72,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.1165170068027211,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
73,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.1165170068027211,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
74,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.1165170068027211,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
75,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.1165170068027211,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
